,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_lambda,mean_test_score,std_test_score,mean_fit_time
24,0.25,1,0.05,24,300,0.1,1.3955347859619422,0.0022553725386871295,30.27645166714986
25,0.25,1,0.05,24,300,1.0,1.3538213657831755,0.003790337037643334,29.014731566111248
26,0.25,1,0.05,24,300,10.0,1.2994512920469934,0.004696261887805882,27.42479681968689
27,0.25,1,0.1,6,50,0.1,1.2875415264191548,0.0007663187722164787,1.1408894856770833
28,0.25,1,0.1,6,50,1.0,1.289018986913484,0.002677124607670786,0.8908727963765463
29,0.25,1,0.1,6,50,10.0,1.2909986618733231,0.0021137807477270413,0.8378568490346273
30,0.25,1,0.1,6,100,0.1,1.24247112499962,0.002087989297843207,1.769475777943929
31,0.25,1,0.1,6,100,1.0,1.2416414926981714,0.0036776464092428207,1.9760816891988118
32,0.25,1,0.1,6,100,10.0,1.2391032037202099,0.0014124349561830268,1.7613286972045898
33,0.25,1,0.1,6,300,0.1,1.2320103938202296,0.0052630360983045455,5.611351251602173
34,0.25,1,0.1,6,300,1.0,1.2289074976220904,0.005654308498702054,5.51175053914388
35,0.25,1,0.1,6,300,10.0,1.2228661582455744,0.002868116275064095,4.710065444310506
36,0.25,1,0.1,12,50,0.1,1.3398787836491108,0.004087045203531039,1.9552403291066487
37,0.25,1,0.1,12,50,1.0,1.3217365896044602,0.001669206028936048,1.8030081590016682
38,0.25,1,0.1,12,50,10.0,1.3017611992199216,0.002141883934485629,1.880190134048462
39,0.25,1,0.1,12,100,0.1,1.3233877389578597,0.004719788429359495,4.0612254937489825
40,0.25,1,0.1,12,100,1.0,1.3043628701305015,0.006842437480185245,3.728764851888021
41,0.25,1,0.1,12,100,10.0,1.270848145393612,0.0052077012182345905,3.369502147038778
42,0.25,1,0.1,12,300,0.1,1.3287740730561843,0.004215357679475562,10.968150536219278
43,0.25,1,0.1,12,300,1.0,1.312998616843035,0.007210306793774968,11.241505940755209
44,0.25,1,0.1,12,300,10.0,1.2821534945518627,0.006365694461040011,11.726428349812826
45,0.25,1,0.1,24,50,0.1,1.439485790099871,0.002242463709365465,4.952212492624919
46,0.25,1,0.1,24,50,1.0,1.3916428115004098,0.0054191036610723225,4.509898821512858
47,0.25,1,0.1,24,50,10.0,1.3307373580031638,0.005197074162448476,3.1678672631581626
48,0.25,1,0.1,24,100,0.1,1.4241639965267394,0.0019703634262814643,10.156579971313477
49,0.25,1,0.1,24,100,1.0,1.3786563189524017,0.004813602639679532,8.950908342997232
50,0.25,1,0.1,24,100,10.0,1.3231531644079386,0.0067874492343982335,7.178427060445149
51,0.25,1,0.1,24,300,0.1,1.4191687821928525,0.0020458633877247236,27.87519900004069
52,0.25,1,0.1,24,300,1.0,1.375198484869145,0.004601204049531506,23.890588680903118
53,0.25,1,0.1,24,300,10.0,1.3291258618323603,0.006287453946817644,22.201377471288044
54,0.25,1,0.3,6,50,0.1,1.2671486839519928,0.001646355621201552,0.9150437513987223
55,0.25,1,0.3,6,50,1.0,1.2623497546717815,0.00482353606721282,0.8327009677886963
56,0.25,1,0.3,6,50,10.0,1.2566894721109643,0.005516409168596132,0.8800795078277588
57,0.25,1,0.3,6,100,0.1,1.269510046822811,0.005906440811721258,1.58806045850118
58,0.25,1,0.3,6,100,1.0,1.2616828558841844,0.008591569786033188,1.5903631051381428
59,0.25,1,0.3,6,100,10.0,1.250794789656313,0.006798642579973067,1.5905367533365886
60,0.25,1,0.3,6,300,0.1,1.311616427869934,0.01017482458700944,4.467962662378947
61,0.25,1,0.3,6,300,1.0,1.296948597239756,0.011089735626379006,4.469051917394002
62,0.25,1,0.3,6,300,10.0,1.2764377346486506,0.0052890754526099355,4.574540853500366
63,0.25,1,0.3,12,50,0.1,1.4259984222033506,0.003094236069766571,1.790205717086792
64,0.25,1,0.3,12,50,1.0,1.3897093402465608,0.0031476256515655574,1.7891631921132405
65,0.25,1,0.3,12,50,10.0,1.3323849846764768,0.007321186642516327,1.7195680141448975
66,0.25,1,0.3,12,100,0.1,1.432782760312613,0.003663891848897184,3.4687251249949136
67,0.25,1,0.3,12,100,1.0,1.39555578170343,0.0022824953876201086,3.9274377822875977
68,0.25,1,0.3,12,100,10.0,1.3387230104400656,0.009285111836089568,3.7033907572428384
69,0.25,1,0.3,12,300,0.1,1.438551125204036,0.003717226723768809,9.40173896153768
70,0.25,1,0.3,12,300,1.0,1.402095011647824,0.002662032200479743,9.480556726455688
71,0.25,1,0.3,12,300,10.0,1.351254333882015,0.009391163839819017,9.563654581705729
72,0.25,1,0.3,24,50,0.1,1.5160925234130704,0.0062452323108825635,4.764815171559651
73,0.25,1,0.3,24,50,1.0,1.4568286303422724,0.00644301056769664,4.37011472384135
